id,name,street,postal_code,city,region,country,latitude,longitude,Monday_opens,Monday_closes,Monday_description,Tuesday_opens,Tuesday_closes,Tuesday_description,Wednesday_opens,Wednesday_closes,Wednesday_description,Thursday_opens,Thursday_closes,Thursday_description,Friday_opens,Friday_closes,Friday_description,Saturday_opens,Saturday_closes,Saturday_description,Sunday_opens,Sunday_closes,Sunday_description
22,Smíchov,N/A,150 00,N/A,N/A,Česko,50.073919,14.406673,13:00,19:00,Běžná otevírací doba,09:00,19:00,Běžná otevírací doba,09:00,19:00,Běžná otevírací doba,09:00,19:00,Běžná otevírací doba,09:00,19:00,Běžná otevírací doba,09:00,13:00,Běžná otevírací doba,N/A,N/A,N/A
39,Spořilov,N/A,141 00,N/A,N/A,Česko,50.045213,14.491654,13:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,N/A,N/A,N/A,N/A,N/A,N/A
40,Stodůlky,N/A,155 00,N/A,N/A,Česko,50.049051,14.317017,13:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,N/A,N/A,N/A,N/A,N/A,N/A
41,Školská,N/A,110 00,N/A,N/A,Česko,50.079649,14.424511,13:00,19:00,Běžná otevírací doba,11:00,19:00,Běžná otevírací doba,11:00,19:00,Běžná otevírací doba,11:00,19:00,Běžná otevírací doba,09:00,15:00,Běžná otevírací doba,N/A,N/A,N/A,N/A,N/A,N/A
1,Ústřední knihovna,N/A,115 72,N/A,N/A,Česko,50.08738,14.41738,13:00,20:00,Běžná otevírací doba,09:00,20:00,Běžná otevírací doba,09:00,20:00,Běžná otevírací doba,09:00,20:00,Běžná otevírací doba,09:00,20:00,Běžná otevírací doba,13:00,18:00,Běžná otevírací doba,N/A,N/A,N/A
13,Ústřední knihovna - Dílna,N/A,115 72,N/A,N/A,Česko,50.08738,14.41738,13:00,19:00,Běžná otevírací doba,09:00,19:00,Běžná otevírací doba,09:00,19:00,Běžná otevírací doba,09:00,19:00,Běžná otevírací doba,09:00,19:00,Běžná otevírací doba,N/A,N/A,N/A,N/A,N/A,N/A
87,Ústřední knihovna - Kreativní centrUM,N/A,115 72,N/A,N/A,Česko,50.08738,14.41738,13:00,17:00,Běžná otevírací doba,16:00,20:00,Běžná otevírací doba,15:00,17:00,Běžná otevírací doba,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
88,Ústřední knihovna - pokladna sálů,N/A,115 72,N/A,N/A,Česko,50.08738,14.41738,14:00,20:00,Běžná otevírací doba,14:00,20:00,Běžná otevírací doba,14:00,20:00,Běžná otevírací doba,14:00,20:00,Běžná otevírací doba,14:00,20:00,Běžná otevírací doba,N/A,N/A,N/A,N/A,N/A,N/A
42,Velká Chuchle,N/A,159 00,N/A,N/A,Česko,50.011705,14.385132,N/A,N/A,N/A,13:00,18:00,Běžná otevírací doba,N/A,N/A,N/A,10:00,18:00,Běžná otevírací doba,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
86,Velký mlýn,N/A,180 00,N/A,N/A,Česko,50.1075122,14.4691872,14:00,17:00,Běžná otevírací doba,14:00,17:00,Běžná otevírací doba,14:00,17:00,Běžná otevírací doba,14:00,17:00,Běžná otevírací doba,14:00,17:00,Běžná otevírací doba,09:00,20:00,Běžná otevírací doba,09:00,20:00,Běžná otevírací doba
43,Vikova,N/A,140 00,N/A,N/A,Česko,50.041235,14.437536,13:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,N/A,N/A,N/A,N/A,N/A,N/A
36,Vozovna,N/A,130 00,N/A,N/A,Česko,50.0917275,14.4783867,13:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,N/A,N/A,N/A,N/A,N/A,N/A
45,Vysočany,N/A,190 00,N/A,N/A,Česko,50.111288,14.501039,13:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,N/A,N/A,N/A,N/A,N/A,N/A
46,Zahradní Město,N/A,106 00,N/A,N/A,Česko,50.056364,14.508175,13:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,N/A,N/A,N/A,N/A,N/A,N/A
47,Záhřebská,N/A,120 00,N/A,N/A,Česko,50.071889,14.437047,13:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,N/A,N/A,N/A,N/A,N/A,N/A
48,Žižkov,N/A,130 00,N/A,N/A,Česko,50.0867,14.4499,13:00,19:00,Běžná otevírací doba,13:00,16:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,13:00,16:00,Běžná otevírací doba,N/A,N/A,N/A,N/A,N/A,N/A
